"","interval","steps"
"0",0,1.71698113207547
"5",5,0.339622641509434
"10",10,0.132075471698113
"15",15,0.150943396226415
"20",20,0.0754716981132075
"25",25,2.09433962264151
"30",30,0.528301886792453
"35",35,0.867924528301887
"40",40,0
"45",45,1.47169811320755
"50",50,0.30188679245283
"55",55,0.132075471698113
"60",60,0.153039832285115
"65",65,0.174004192872117
"70",70,0.194968553459119
"75",75,0.215932914046122
"80",80,0.236897274633124
"85",85,0.257861635220126
"90",90,0.278825995807128
"95",95,0.29979035639413
"100",100,0.320754716981132
"105",105,0.679245283018868
"110",110,0.150943396226415
"115",115,0.339622641509434
"120",120,0
"125",125,1.11320754716981
"130",130,1.83018867924528
"135",135,0.169811320754717
"140",140,0.169811320754717
"145",145,0.377358490566038
"150",150,0.264150943396226
"155",155,0
"160",160,0
"165",165,0
"170",170,0
"175",175,0
"180",180,0
"185",185,0
"190",190,0
"195",195,0
"200",200,0
"205",205,0
"210",210,1.13207547169811
"215",215,0
"220",220,0
"225",225,0.132075471698113
"230",230,0
"235",235,0.226415094339623
"240",240,0
"245",245,0
"250",250,1.54716981132075
"255",255,0.943396226415094
"260",260,0.838574423480084
"265",265,0.733752620545073
"270",270,0.628930817610063
"275",275,0.524109014675052
"280",280,0.419287211740042
"285",285,0.314465408805031
"290",290,0.209643605870021
"295",295,0.104821802935011
"300",300,0
"305",305,0
"310",310,0
"315",315,0
"320",320,0.207547169811321
"325",325,0.622641509433962
"330",330,1.62264150943396
"335",335,0.584905660377358
"340",340,0.490566037735849
"345",345,0.0754716981132075
"350",350,0
"355",355,0
"360",360,0.132075471698113
"365",365,0.264150943396226
"370",370,0.39622641509434
"375",375,0.528301886792453
"380",380,0.660377358490566
"385",385,0.792452830188679
"390",390,0.924528301886792
"395",395,1.05660377358491
"400",400,1.18867924528302
"405",405,0.943396226415094
"410",410,2.56603773584906
"415",415,0
"420",420,0.339622641509434
"425",425,0.358490566037736
"430",430,4.11320754716981
"435",435,0.660377358490566
"440",440,3.49056603773585
"445",445,0.830188679245283
"450",450,3.11320754716981
"455",455,1.11320754716981
"460",460,0.989517819706499
"465",465,0.865828092243187
"470",470,0.742138364779874
"475",475,0.618448637316562
"480",480,0.494758909853249
"485",485,0.371069182389937
"490",490,0.247379454926625
"495",495,0.123689727463312
"500",500,0
"505",505,1.56603773584906
"510",510,3
"515",515,2.24528301886792
"520",520,3.32075471698113
"525",525,2.9622641509434
"530",530,2.09433962264151
"535",535,6.05660377358491
"540",540,16.0188679245283
"545",545,18.3396226415094
"550",550,39.4528301886792
"555",555,44.4905660377358
"560",560,43.0461215932914
"565",565,41.601677148847
"570",570,40.1572327044025
"575",575,38.7127882599581
"580",580,37.2683438155136
"585",585,35.8238993710692
"590",590,34.3794549266247
"595",595,32.9350104821803
"600",600,31.4905660377358
"605",605,49.2641509433962
"610",610,53.7735849056604
"615",615,63.4528301886792
"620",620,49.9622641509434
"625",625,47.0754716981132
"630",630,52.1509433962264
"635",635,39.3396226415094
"640",640,44.0188679245283
"645",645,44.1698113207547
"650",650,37.3584905660377
"655",655,49.0377358490566
"660",660,48.4570230607966
"665",665,47.8763102725367
"670",670,47.2955974842767
"675",675,46.7148846960168
"680",680,46.1341719077568
"685",685,45.5534591194969
"690",690,44.9727463312369
"695",695,44.3920335429769
"700",700,43.811320754717
"705",705,44.377358490566
"710",710,50.5094339622642
"715",715,54.5094339622642
"720",720,49.9245283018868
"725",725,50.9811320754717
"730",730,55.6792452830189
"735",735,44.3207547169811
"740",740,52.2641509433962
"745",745,69.5471698113208
"750",750,57.8490566037736
"755",755,56.1509433962264
"760",760,58.0649895178197
"765",765,59.979035639413
"770",770,61.8930817610063
"775",775,63.8071278825996
"780",780,65.7211740041929
"785",785,67.6352201257862
"790",790,69.5492662473794
"795",795,71.4633123689728
"800",800,73.377358490566
"805",805,68.2075471698113
"810",810,129.433962264151
"815",815,157.528301886792
"820",820,171.150943396226
"825",825,155.396226415094
"830",830,177.301886792453
"835",835,206.169811320755
"840",840,195.924528301887
"845",845,179.566037735849
"850",850,183.396226415094
"855",855,167.018867924528
"860",860,164.400419287212
"865",865,161.781970649895
"870",870,159.163522012579
"875",875,156.545073375262
"880",880,153.926624737946
"885",885,151.308176100629
"890",890,148.689727463312
"895",895,146.071278825996
"900",900,143.452830188679
"905",905,124.037735849057
"910",910,109.11320754717
"915",915,108.11320754717
"920",920,103.716981132075
"925",925,95.9622641509434
"930",930,66.2075471698113
"935",935,45.2264150943396
"940",940,24.7924528301887
"945",945,38.7547169811321
"950",950,34.9811320754717
"955",955,21.0566037735849
"960",960,23.2243186582809
"965",965,25.3920335429769
"970",970,27.559748427673
"975",975,29.727463312369
"980",980,31.895178197065
"985",985,34.062893081761
"990",990,36.230607966457
"995",995,38.398322851153
"1000",1000,40.5660377358491
"1005",1005,26.9811320754717
"1010",1010,42.4150943396226
"1015",1015,52.6603773584906
"1020",1020,38.9245283018868
"1025",1025,50.7924528301887
"1030",1030,44.2830188679245
"1035",1035,37.4150943396226
"1040",1040,34.6981132075472
"1045",1045,28.3396226415094
"1050",1050,25.0943396226415
"1055",1055,31.9433962264151
"1060",1060,31.8784067085954
"1065",1065,31.8134171907757
"1070",1070,31.748427672956
"1075",1075,31.6834381551363
"1080",1080,31.6184486373166
"1085",1085,31.5534591194969
"1090",1090,31.4884696016771
"1095",1095,31.4234800838574
"1100",1100,31.3584905660377
"1105",1105,29.6792452830189
"1110",1110,21.3207547169811
"1115",1115,25.5471698113208
"1120",1120,28.377358490566
"1125",1125,26.4716981132075
"1130",1130,33.4339622641509
"1135",1135,49.9811320754717
"1140",1140,42.0377358490566
"1145",1145,44.6037735849057
"1150",1150,46.0377358490566
"1155",1155,59.188679245283
"1160",1160,59.7085953878407
"1165",1165,60.2285115303983
"1170",1170,60.748427672956
"1175",1175,61.2683438155136
"1180",1180,61.7882599580713
"1185",1185,62.3081761006289
"1190",1190,62.8280922431866
"1195",1195,63.3480083857442
"1200",1200,63.8679245283019
"1205",1205,87.6981132075472
"1210",1210,94.8490566037736
"1215",1215,92.7735849056604
"1220",1220,63.3962264150943
"1225",1225,50.1698113207547
"1230",1230,54.4716981132075
"1235",1235,32.4150943396226
"1240",1240,26.5283018867925
"1245",1245,37.7358490566038
"1250",1250,45.0566037735849
"1255",1255,67.2830188679245
"1260",1260,64.5115303983228
"1265",1265,61.7400419287212
"1270",1270,58.9685534591195
"1275",1275,56.1970649895178
"1280",1280,53.4255765199161
"1285",1285,50.6540880503145
"1290",1290,47.8825995807128
"1295",1295,45.1111111111111
"1300",1300,42.3396226415094
"1305",1305,39.8867924528302
"1310",1310,43.2641509433962
"1315",1315,40.9811320754717
"1320",1320,46.2452830188679
"1325",1325,56.4339622641509
"1330",1330,42.7547169811321
"1335",1335,25.1320754716981
"1340",1340,39.9622641509434
"1345",1345,53.5471698113208
"1350",1350,47.3207547169811
"1355",1355,60.811320754717
"1360",1360,60.2494758909853
"1365",1365,59.6876310272537
"1370",1370,59.125786163522
"1375",1375,58.5639412997904
"1380",1380,58.0020964360587
"1385",1385,57.440251572327
"1390",1390,56.8784067085954
"1395",1395,56.3165618448637
"1400",1400,55.7547169811321
"1405",1405,51.9622641509434
"1410",1410,43.5849056603774
"1415",1415,48.6981132075472
"1420",1420,35.4716981132075
"1425",1425,37.5471698113208
"1430",1430,41.8490566037736
"1435",1435,27.5094339622642
"1440",1440,17.1132075471698
"1445",1445,26.0754716981132
"1450",1450,43.622641509434
"1455",1455,43.7735849056604
"1460",1460,42.2452830188679
"1465",1465,40.7169811320755
"1470",1470,39.188679245283
"1475",1475,37.6603773584906
"1480",1480,36.1320754716981
"1485",1485,34.6037735849057
"1490",1490,33.0754716981132
"1495",1495,31.5471698113208
"1500",1500,30.0188679245283
"1505",1505,36.0754716981132
"1510",1510,35.4905660377358
"1515",1515,38.8490566037736
"1520",1520,45.9622641509434
"1525",1525,47.7547169811321
"1530",1530,48.1320754716981
"1535",1535,65.3207547169811
"1540",1540,82.9056603773585
"1545",1545,98.6603773584906
"1550",1550,102.11320754717
"1555",1555,83.9622641509434
"1560",1560,81.5366876310272
"1565",1565,79.1111111111111
"1570",1570,76.685534591195
"1575",1575,74.2599580712788
"1580",1580,71.8343815513627
"1585",1585,69.4088050314465
"1590",1590,66.9832285115304
"1595",1595,64.5576519916143
"1600",1600,62.1320754716981
"1605",1605,64.1320754716981
"1610",1610,74.5471698113208
"1615",1615,63.1698113207547
"1620",1620,56.9056603773585
"1625",1625,59.7735849056604
"1630",1630,43.8679245283019
"1635",1635,38.5660377358491
"1640",1640,44.6603773584906
"1645",1645,45.4528301886792
"1650",1650,46.2075471698113
"1655",1655,43.6792452830189
"1660",1660,44.0062893081761
"1665",1665,44.3333333333333
"1670",1670,44.6603773584906
"1675",1675,44.9874213836478
"1680",1680,45.314465408805
"1685",1685,45.6415094339623
"1690",1690,45.9685534591195
"1695",1695,46.2955974842767
"1700",1700,46.622641509434
"1705",1705,56.3018867924528
"1710",1710,50.7169811320755
"1715",1715,61.2264150943396
"1720",1720,72.7169811320755
"1725",1725,78.9433962264151
"1730",1730,68.9433962264151
"1735",1735,59.6603773584906
"1740",1740,75.0943396226415
"1745",1745,56.5094339622642
"1750",1750,34.7735849056604
"1755",1755,37.4528301886792
"1760",1760,37.811320754717
"1765",1765,38.1698113207547
"1770",1770,38.5283018867924
"1775",1775,38.8867924528302
"1780",1780,39.2452830188679
"1785",1785,39.6037735849057
"1790",1790,39.9622641509434
"1795",1795,40.3207547169811
"1800",1800,40.6792452830189
"1805",1805,58.0188679245283
"1810",1810,74.6981132075472
"1815",1815,85.3207547169811
"1820",1820,59.2641509433962
"1825",1825,67.7735849056604
"1830",1830,77.6981132075472
"1835",1835,74.2452830188679
"1840",1840,85.3396226415094
"1845",1845,99.4528301886792
"1850",1850,86.5849056603774
"1855",1855,85.6037735849057
"1860",1860,85.5220125786164
"1865",1865,85.440251572327
"1870",1870,85.3584905660377
"1875",1875,85.2767295597484
"1880",1880,85.1949685534591
"1885",1885,85.1132075471698
"1890",1890,85.0314465408805
"1895",1895,84.9496855345912
"1900",1900,84.8679245283019
"1905",1905,77.8301886792453
"1910",1910,58.0377358490566
"1915",1915,53.3584905660377
"1920",1920,36.3207547169811
"1925",1925,20.7169811320755
"1930",1930,27.3962264150943
"1935",1935,40.0188679245283
"1940",1940,30.2075471698113
"1945",1945,25.5471698113208
"1950",1950,45.6603773584906
"1955",1955,33.5283018867925
"1960",1960,31.9832285115304
"1965",1965,30.4381551362683
"1970",1970,28.8930817610063
"1975",1975,27.3480083857442
"1980",1980,25.8029350104822
"1985",1985,24.2578616352201
"1990",1990,22.7127882599581
"1995",1995,21.167714884696
"2000",2000,19.622641509434
"2005",2005,19.0188679245283
"2010",2010,19.3396226415094
"2015",2015,33.3396226415094
"2020",2020,26.811320754717
"2025",2025,21.1698113207547
"2030",2030,27.3018867924528
"2035",2035,21.3396226415094
"2040",2040,19.5471698113208
"2045",2045,21.3207547169811
"2050",2050,32.3018867924528
"2055",2055,20.1509433962264
"2060",2060,19.6834381551363
"2065",2065,19.2159329140461
"2070",2070,18.748427672956
"2075",2075,18.2809224318658
"2080",2080,17.8134171907757
"2085",2085,17.3459119496855
"2090",2090,16.8784067085954
"2095",2095,16.4109014675052
"2100",2100,15.9433962264151
"2105",2105,17.2264150943396
"2110",2110,23.4528301886792
"2115",2115,19.2452830188679
"2120",2120,12.4528301886792
"2125",2125,8.0188679245283
"2130",2130,14.6603773584906
"2135",2135,16.3018867924528
"2140",2140,8.67924528301887
"2145",2145,7.79245283018868
"2150",2150,8.13207547169811
"2155",2155,2.62264150943396
"2160",2160,2.49266247379455
"2165",2165,2.36268343815514
"2170",2170,2.23270440251572
"2175",2175,2.10272536687631
"2180",2180,1.9727463312369
"2185",2185,1.84276729559748
"2190",2190,1.71278825995807
"2195",2195,1.58280922431866
"2200",2200,1.45283018867925
"2205",2205,3.67924528301887
"2210",2210,4.81132075471698
"2215",2215,8.50943396226415
"2220",2220,7.07547169811321
"2225",2225,8.69811320754717
"2230",2230,9.75471698113208
"2235",2235,2.20754716981132
"2240",2240,0.320754716981132
"2245",2245,0.113207547169811
"2250",2250,1.60377358490566
"2255",2255,4.60377358490566
"2260",2260,4.45911949685535
"2265",2265,4.31446540880503
"2270",2270,4.16981132075472
"2275",2275,4.0251572327044
"2280",2280,3.88050314465409
"2285",2285,3.73584905660377
"2290",2290,3.59119496855346
"2295",2295,3.44654088050314
"2300",2300,3.30188679245283
"2305",2305,2.84905660377358
"2310",2310,0
"2315",2315,0.830188679245283
"2320",2320,0.962264150943396
"2325",2325,1.58490566037736
"2330",2330,2.60377358490566
"2335",2335,4.69811320754717
"2340",2340,3.30188679245283
"2345",2345,0.641509433962264
"2350",2350,0.226415094339623
"2355",2355,1.07547169811321
